Name,Genus,Species,Country,State/Region,Formation,Time Period,Dates,Value,Collector,Common Name,Descriptor ,Miscellanoues 
MOLAM0001,Graspedites,NA,Russia,NA,NA,Jurassic,NA,NA,R. Unzha Kostroma,NA,NA,NA
MOLAM0002,NA,NA,Nepal,"Annapurna, Mustang",NA,Jurassic ,~185 mya,NA,NA,Shaligram,NA,Kali Gandaki River
MOLAM0003,Polished Belemnite,NA,Russia,Tarstan Region,NA,Late Jurassic,165 mya,NA,Dr. Utt Collection,polished Belemite,NA,NA
MOLAM0004,Eleganticeras,elegantulum,England,"North Yorkshire, Whitby Cannonball",NA,Lower Jurassic,180 myo,NA,NA,NA,NA,"polished upper lias, falciferum subzone"
MOLAM0005,Metalegoceras,tschernyschewi,Indonesia,Timor,NA,Lower Permian,NA,NA,NA,NA,NA,NA
MOLAM0006,NA,NA,United Kingdom,Charmouth,NA,NA,NA,NA,NA,NA,NA,Belemnite
MOLAM0007,Hypocladiscites,subaratus plantus,Indonesia,"Timor, Noe Bihati",NA,"Norian, Triassic",227-208.5 mya ,NA,NA,NA,Mojsisovics ,NA
MOLAM0008,NA,NA,USA,Wyoming,NA,NA,NA,NA,NA,Belemite guard,NA,NA
MOLAM0009,Lanceolites,compactus,Indonesia,"Timor, Noe Bihati",NA,Lower Triassic Smithian,NA,NA,NA,NA,NA,NA
MOLAM0010,54,NA,Morocco,NA,NA,NA,NA,NA,NA,Goniatite,NA,NA
MOLAM0011,Tissotia,obesa,Peru,Cajamarca,NA,Upper Cretaceous Coniacian,NA,NA,NA,NA,NA,NA
MOLAM0012,Microdoceras,NA,United Kingdom,"Black Ven, Lyme Regis",NA,NA,NA,NA,NA,NA,NA,NA
MOLAM0013,Laevaptychus,latus,England,"Westbury, Wiltshire",NA,"Kimmeridgian, Jurassic",157 mya,NA,N. Zachariades,NA,Parkinson,aptychii: paired calcereous plates forming part of the jaw apparatus in certain ammonite families
MOLAM0014,NA,NA,United Kingdom,"North Yorkshire, Nr. Whitby Kettleness",NA,"Bifrons Zone, Commune Subzone, Upper Lias, Lower Jurassic",180 mya,NA,NA,Whitby Snakestone,NA,NA
MOLAM0015,NA,NA,USA,"Little Glasses Creek, Marshall county, Little Glasses Creek, Oklahoma",NA,NA,NA,NA,Dr. Utt Collection,NA ,NA,Rhynocholites
MOLAM0016,Muensteroceras,parallelum,USA,"Jackson Co, Indiana",Rockford Limestone,NA,325 mya,NA ,NA ,NA ,NA,Mississipian Pd??
MOLAM0017,NA,NA,United Kingdom,Charmouth,NA,NA,NA ,NA ,NA ,NA ,NA,Pyritized
MOLAM0018,NA,NA,Morocco,NA,NA,NA,NA ,NA,NA,Goniatite,NA,NA
